#,Category,Question,Answer,Frequency
1,AI Training,"How do I train my AI assistant? What data sources should I add?","Add training data in the AI Assistant section. Key data sources: (1) Products — sync your Shopify products so AI knows what you sell; (2) FAQs — add Q&A pairs for common store policies (shipping, returns, etc.); (3) Custom Knowledge — upload documents or paste text for detailed policies, brand info, or guides; (4) Store Info — sync store details like contact info, business hours, locations. After enabling each source, click Sync. Best practice: write detailed product descriptions with specs; add specific Q&A pairs for edge cases (e.g. backorder handling, metafield-based delivery times); use AI Assistant → Instructions → Manage → Assistant skills → Custom scenarios for situation-specific behavior. To verify training: go to AI Assistant → Test AI to test responses before going live.",81
2,Billing / Subscription,"I was charged after my trial ended / I need a refund. How do I cancel my plan?","For refund requests: CS needs to review the billing details — share a screenshot of the charge from your Shopify billing page. Refunds are assessed case by case. To cancel/downgrade: go to Chatty → Subscription page → downgrade to Free plan. This stops future charges. Note: downgrading takes effect at the end of the current billing period. You will not be charged again after downgrading. If you need to fully uninstall, remove the app from Shopify Apps — this stops all billing.",57
3,Analytics / Export,"Can I export my chat conversations or view analytics? How do I see chat history?","To view conversations: go to Chatty → Inbox. You can filter by channel, date, and status. To export transcripts: the CS team can export and email conversation data to you — share your email address and the date range needed. Bulk CSV export is not currently available as a self-serve feature. For analytics: go to Chatty → Analytics to view conversation volume, AI usage, response rates, and CSAT. Note: on the Free plan, chat history is only stored for 90 days — older conversations appear blurred.",47
4,Installation / Initial Setup,"I just installed Chatty — how do I set everything up? The chatbox isn't working after install.","Quick setup steps: (1) Go to Shopify Admin → Online Store → Themes → Customize → App Embeds → enable Chatty toggle → Save; (2) In Chatty: go to Chatbox → General → Turn on chatbox → in Blocks, enable Live chat; (3) Enable AI Assistant and sync your data sources (products, FAQs, store info); (4) Go to Settings → Notifications to set up browser push or email alerts; (5) Test by opening your storefront and clicking the chat icon. If the widget still doesn't appear after Step 1 and 2, check the Theme App Embeds toggle is saved — this is the most common cause.",47
5,Proactive Chat / Popup,"How do I disable or edit the proactive chat popup? I don't want product recommendations popping up.","To disable the proactive chat popup: go to Chatty → AI Assistant → Instructions → Manage → Assistant skills → Shopping skills → Product recommendations → toggle it off (or set to only show when customer asks). To remove or edit specific proactive chat messages (e.g. 'Our Best Seller', welcome banners): go to Chatty → Proactive Chat → find the active message → edit or disable it. To disable all proactive chat: go to Proactive Chat → toggle off all active items. Note: the 'Welcome Visitor' greeting bubble is separate — configure it in Chatbox → Chat Page → Welcome visitors section.",39
6,Notifications,"I'm not getting notifications when a new chat comes in. How do I fix this?","Step 1: Go to Settings → Notifications → ensure web push and/or email notifications are toggled on for the relevant triggers. Step 2 (Browser/Desktop): Grant notification permission for app.chatty.net in your browser — go to browser Settings → Site Settings → Notifications → allow app.chatty.net. Also check your OS system notifications are not blocked (Mac: System Settings → Notifications; Windows: Action Center). Step 3: Clear browser cache, restart browser. If still failing: open Chrome DevTools (F12) → Application → Service Workers → update the firebase-messaging-sw.js worker. For mobile: Chatty is a PWA (not an App Store app) — install via app.chatty.net → 'Add to Home Screen', then go to device Settings → Apps → Chatty → Notifications → allow. If completely stuck, use email notifications as a fallback while escalating to support.",38
7,Chatbox Widget Position,"The chat icon is blocking my Add to Cart button / navigation menu. Can I move it?","Chatty supports left/right bottom alignment natively — go to Chatbox → General → Position. For more specific adjustments (moving higher on mobile only, precise pixel positioning, or fixing overlap with specific theme elements like a sticky ATC bar): this requires custom CSS and the CS/TS team handles it. To request: (1) Describe what you need (e.g. 'move icon 60px higher on mobile only'); (2) Provide a screenshot showing the overlap; (3) Specify desktop, mobile, or both. The team will apply the CSS and confirm when done. On average, position adjustments take 1–2 business hours.",27
8,Human Handover / AI to Human Transfer,"How does AI hand over a conversation to a human agent? How do I set this up?","Configure human handover in: AI Assistant → Instructions → Manage → Assistant skills → Customer support skills → Human handover. Options: (1) Transfer to online agent — assigns chat to an online team member; check 'Only assign to online members' if you want this. (2) Send to email — AI collects customer info and sends a handover notification to your support email. (3) No transfer — AI handles all requests and gives customers a self-service option (e.g. a phone number or email to contact). To turn off AI entirely and use only human chat: go to AI Assistant → toggle off AI Assistant. Agents will then handle all incoming chats manually from the Inbox.",30
9,Translation / Language Settings,"How do I change the language of the chatbox? The AI responds in the wrong language.","To set the chatbox display language: go to Chatbox → General → Language → select your language. For AI response language: go to AI Assistant → Instructions → Manage → Custom instructions → add an instruction like 'Always respond in [language], regardless of the language the customer uses.' For multilingual stores: Chatty supports real-time translation in the Inbox (new feature) — agents can see messages translated in real time. To display FAQs in a specific language, add the FAQ content in that language. If the AI replies in the wrong language unexpectedly (e.g. Japanese store getting Chinese responses), add a custom instruction to force the target language and report the conversation ID to support.",26
10,Team Members / Account Management,"How do I add a team member? How do I change the account/admin email?","To invite a team member: go to Settings → Team → Invite member → enter their email. They will receive an invitation email. Note: currently only one Admin role is supported — you cannot have multiple admins. To change a team member's email: go to Settings → Team → find the member → the CS team can update the email on your behalf if you cannot do it yourself (share the current email and new email). If the invitation email is not received: check spam folder; CS can re-send or help troubleshoot. On the Free plan, you cannot add additional team members — upgrade to a paid plan.",27
11,Chatbox Settings / Widget Customization,"How do I customize the chatbox appearance? Can I change colors, the welcome message, or widget size?","Chatbox customization options: go to Chatbox → General for position (left/right), color theme, and enabling/disabling the widget. To change the welcome message / greeting: go to Chatbox → Chat Page → Welcome visitors section — edit the text shown above the chat icon. To change chatbox colors: go to Chatbox → General → Color. For advanced customization (font size, custom CSS, widget size adjustments, RTL text support): these require custom CSS. Submit a request to the CS team with a screenshot and description of what you need. Note: the chatbox does not currently support direct CSS access by merchants.",21
12,FAQ Page / FAQ Block Setup,"How do I set up the FAQ page? The default questions keep reappearing / I can't delete them.","To set up the FAQ page: go to Chatty → FAQs → create categories and add Q&A items. To add the FAQ page to your store navigation: add a page link pointing to /pages/[your-faq-page-slug] in your Shopify navigation menu. To add the FAQ block inside the chatbox: go to Chatbox → Chat Page → FAQ block — toggle on and select which FAQ categories to show. The 'default questions' visible in the chat preview (like pre-built sample questions) are preview-only — they don't show to customers on your live store. To edit which questions customers see: edit the FAQ block settings. To remove the search bar from the FAQ block: go to FAQ block settings and disable the search bar.",20
13,Widget Not Showing on Store,"The chat widget isn't appearing on my website even though I've activated it.","Follow this checklist in order: (1) Check Shopify Admin → Online Store → Themes → Customize → App Embeds → Chatty must be toggled ON and saved. (2) Check Chatty → Chatbox → General → confirm chatbox is turned on; in Blocks, confirm Live chat is enabled. (3) Hard-refresh the storefront (Ctrl+Shift+R or Cmd+Shift+R). (4) Test in an incognito browser window. If the widget shows in incognito but not in your regular browser: clear browser cache and cookies. If visible on desktop but not mobile (or vice versa): share a screenshot with the CS team to escalate. If still not showing after all above steps: grant collaborator access and escalate to CS with your store URL and theme name.",21
14,Mobile App (PWA),"Is there a Chatty mobile app? How do I install it on my phone?","Chatty is a PWA (Progressive Web App) — it is NOT available on the App Store or Google Play Store. Install it via browser: (1) On your phone, open app.chatty.net in Chrome (Android) or Safari (iOS); (2) Tap the Share icon → 'Add to Home Screen' → Add. The app icon will appear on your home screen like a native app. To find the QR code for easy install: go to Settings → Notifications → scan the QR code with your phone. Login: use your Chatty account email and password (use Forgot Password if needed). For mobile push notifications: after installing, go to device Settings → Apps → Chatty → Notifications → allow.",23
15,AI Conversation/Usage Limits,"How many AI conversations am I allowed? What happens when I reach the limit?","Free plan: 50 AI conversations total (lifetime, not monthly). Once reached, AI stops responding — customers still see the chat but the AI won't reply, and you must manage conversations manually. Paid plans: each plan has a monthly AI conversation quota. When the quota is exhausted, the AI deactivates until the next billing cycle resets it. You can check your usage in Chatty → Subscription. Extra charges: on paid plans, if you exceed the monthly quota, usage charges apply per additional conversation — see Subscription → View plans for rates. Setting a hard cap: currently there is no built-in way to auto-pause AI at a custom limit. Feature request submitted. Workaround: monitor usage regularly and manually disable AI if approaching the limit.",13
16,Online Hours / Availability,"How do I set my online/offline hours? How do I add a holiday offline message?","Go to Settings → Online Hours → set your working days and hours. The chatbot shows as 'online' during these hours and 'offline' outside them. To add a holiday: Online Hours → Holidays → add a date range. Limitation: you cannot set a custom offline message per holiday — the same global offline message applies to all holidays. To change the offline message: edit it in Online Hours settings. To keep AI available 24/7 regardless of hours: go to AI Assistant → Settings → toggle on 'AI available outside online hours' (or similar). Note: if you want only AI (no human agents) to respond, disable human agent availability and keep AI enabled at all times.",23
17,Custom Scenarios / AI Instructions,"How do I add custom instructions or train the AI to handle specific situations (e.g. returns, complaints, vendor inquiries)?","Go to AI Assistant → Instructions → Manage → Assistant skills → Custom scenarios → + Add scenario. Fill in: (1) Scenario name (e.g. 'Return Request'); (2) Keywords that trigger it (include variants: 'refund', 'return', 'money back', 'send back'); (3) Instructions for AI behavior when triggered (max 1000 characters); (4) Set status to Active. Examples: — To prevent AI from promising refunds: add scenario keywords 'refund, return, exchange' with instruction 'Ask the customer for photos and direct them to [support email] instead of promising any action.' — To give AI a phone number for human requests: keywords 'speak to human, live agent, real person' with instruction 'Provide phone number [X] for customers to call or text.' — To handle vendor inquiries: add keywords 'vendor, wholesale, partner' with specific response text.",35
18,Channels (WhatsApp / Facebook / Instagram / Email),"Can I connect WhatsApp, Facebook, Instagram, and email to Chatty? How?","Yes. Go to Settings → Channels to connect each channel. Supported channels: live chat (on-site), email, Facebook Messenger, Instagram DMs, and WhatsApp. All messages appear in the unified Chatty Inbox. WhatsApp: requires a Facebook Business page, a WhatsApp Business account linked to that page, and admin access to both. Connection takes a few minutes after setup — status shows 'Pending' briefly. Instagram: only Instagram Business accounts connected to a Facebook Page can be integrated. AI responses on social channels: after connecting, go to AI Assistant → Settings → AI Channels → toggle on the specific channel to enable AI responses there (this is separate from connecting the channel). Google Reviews: not currently supported.",16
19,AI Giving Wrong/Inaccurate Responses,"My AI is giving wrong answers (e.g. wrong email address, wrong product info, over-promising refunds). How do I fix it?","Step 1: Find the conversation → click Review Sources to see what data the AI used for that answer. If no source is shown, the AI may be hallucinating (generating from general knowledge, not your training data). Step 2: Correct the source — if training data contains wrong info, update it in the relevant data source. If no source exists for the topic, add the correct Q&A to Custom Knowledge or FAQs. Step 3: Add a Custom Scenario to override behavior — go to AI Assistant → Instructions → Custom scenarios → add the topic keywords + correct instruction. Step 4: For recurring wrong answers (e.g. AI always suggesting a wrong email address): check all data sources for that email, correct it, and re-sync. Escalate to CS with the conversation ID if the issue persists after training corrections.",17
20,AI Not Responding / Auto-Disabled,"My AI suddenly stopped responding to customers. Why?","Check in this order: (1) AI Assistant toggle — go to AI Assistant → check it is enabled (toggle ON); (2) Plan quota — check Subscription page: Free plan = 50 lifetime conversations; paid plans have monthly quotas. If quota is exhausted, AI stops until the next billing reset or until you upgrade; (3) Training data — if no data sources are active, AI may not respond. Enable and sync at least one data source; (4) Live chat block — go to Chatbox → General → Blocks → ensure Live chat is enabled. Most common cause is the quota being exhausted. If the AI keeps auto-disabling despite quota being available, escalate to support with your store URL.",16
21,Pre-Chat Form / Capturing Customer Info,"How do I require customers to leave their email or phone number before chatting?","Go to Chatbox → Chat Page → Pre-chat Form → toggle on. Options: (1) Require email and/or name and phone number before chat starts; (2) Allow 'Chat as guest' — customers can skip the form and chat anonymously. To make the form mandatory (no guest option): remove the 'Chat as guest' option from the pre-chat form settings. The form fields (email required, name optional, phone optional) can be configured in the same section. Note: collected contact info appears in the Inbox alongside the conversation.",8
22,Product Sync / Metafields,"My products aren't syncing to the AI / how do I sync product metafields?","To sync products: go to AI Assistant → Data Sources → Products → enable and click Sync. The AI will learn from product titles, descriptions, variants, and pricing. For metafields: by default, Chatty syncs up to 10 product metafields. If you need additional metafields (e.g. delivery time, custom specs): contact CS with the list of metafields you need added, the number required, and the metafield keys. For products that aren't syncing correctly (showing wrong inventory status, etc.): go to Data Sources → Products → click Re-sync. If a product page URL is failing with 'Failed to retrieve content', escalate to CS with the product URL.",13
23,Order Tracking Integration,"How do I set up order tracking in the chatbox? Customers are being sent to the wrong page.","Go to Chatty → Settings → Integrations → Order Tracking. Connect your tracking provider (Chatty supports 17TRACK integration as of recent update, plus native Shopify tracking). To configure the tracking widget: go to Chatbox → Chat Page → Order tracking block → enable and configure. For the AI to look up order status: enable the Order tracking skill in AI Assistant → Instructions → Assistant skills. If the tracking box sends customers to an incorrect/random URL: check the tracking URL template in the Order Tracking integration settings and correct it.",12
24,Page Speed / Performance,"Chatty is slowing down my store's page speed. What can I do?","Chatty loads asynchronously so it shouldn't block page rendering. If you see it flagged in PageSpeed Insights or Google Lighthouse: (1) Share the PageSpeed Insights report URL with CS; (2) The TS team can review and optimize the loading behavior for your store. Chatty cannot be fully lazy-loaded on demand without removing core functionality, but the team can investigate specific issues. If customers report the Chatty web app (app.chatty.net) is slow to load: report browser, OS, and what specifically is slow — the team will escalate to dev.",6
25,Klaviyo Integration,"How do I connect Klaviyo to Chatty?","Go to Settings → Integrations → Klaviyo. You'll need your Klaviyo API key (Private API Key with List & Profiles read/write permissions). Common issue: if the connection fails after entering the full API key, double-check that you copied the entire key correctly and that the key has the correct permissions enabled in Klaviyo. Chatty syncs contact info (email, name) captured via chat to your Klaviyo list. If the connection still fails after verifying the key, share a screenshot with CS.",5
26,Zendesk Integration,"How do I connect Zendesk to Chatty? I'm getting a 'connection failed' error.","Go to Settings → Integrations → Zendesk → enter your Zendesk domain (format: yourcompany.zendesk.com). If you get 'connection failed': verify the exact subdomain is correct (no https://, no trailing slash). Note: Chatty can only be connected to one Zendesk account at a time — if you have multiple stores, only one can be integrated. If the error persists, provide the domain you're entering to CS.",5
27,Account Deletion / Uninstall,"How do I uninstall Chatty or delete my account and data?","To uninstall: go to Shopify Admin → Apps → Chatty → Delete/Remove. This removes the app and stops all billing. All personal data is automatically deleted when the app is uninstalled. To turn off the widget without uninstalling: go to Shopify Admin → Themes → Customize → App Embeds → toggle Chatty OFF (this hides the widget but keeps settings). If you want to pause billing only: downgrade to the Free plan via Chatty → Subscription page.",11
28,Email Channel Issues,"I connected my email but it shows as 'unverified' or I'm not receiving emails in Chatty Inbox.","Email connection issues by provider: Gmail: check that email forwarding is correctly set up in Gmail → Settings → Forwarding → confirm the forwarding address (provided in Chatty → Settings → Channels → Email). Outlook: email forwarding may be blocked by your organization's IT policy. Contact your IT admin to allow forwarding. After granting permission, reconnect in Chatty. General steps: (1) Make sure you verified the email by clicking the link in the confirmation email from Chatty; (2) Send a test email to the connected address and check if it appears in Chatty Inbox; (3) If emails arrive in Gmail/Outlook but not in Chatty: check forwarding settings and share a screenshot with CS.",13
29,Chatbox Welcome Message / Greeting,"How do I change the 'Hi, how can we help you?' popup message? I didn't set this message.","To change the welcome greeting text: go to Chatbox → Chat Page → Welcome visitors section → edit the message text and save. The default greeting is pre-filled during setup but can be edited to match your brand's tone. To disable the welcome popup entirely: go to Chatbox → Chat Page → Welcome visitors → toggle it off. To change the initial message in the chat (not the popup bubble): configure it in Chatbox → Chat Page → Chat greeting.",21
30,Proactive Chat Widget Position Customization,"Can I hide the chatbox on certain pages of my store?","To hide Chatty on specific pages: this requires custom CSS (e.g. display:none on specific URL paths). Go to Chatty → Advanced Settings → Custom CSS, or request the CS team to apply it. To hide on mobile only: request via CS with a description of which pages and on which device. To hide on all pages temporarily: go to Shopify Admin → Themes → Customize → App Embeds → toggle Chatty OFF.",5
31,Chatty Web App Performance,"The Chatty web app (app.chatty.net) is loading slowly or the inbox won't load.","If app.chatty.net is slow or the inbox page says 'page cannot be found': (1) Try a different browser or incognito mode; (2) Clear browser cache; (3) Check your internet connection; (4) Log out and log back in. If the web app is consistently slow: share your browser name/version, OS, and a description of the issue with CS — the team will escalate to the dev team. If sending images/files fails with 'Network offline. Reconnecting...': refresh the page and try again; if persistent, report to CS.",5
32,AI Product Recommendation Controls,"How do I stop the AI from recommending products unprompted? How do I control when it suggests products?","To configure product recommendation behavior: go to AI Assistant → Instructions → Manage → Assistant skills → Shopping skills → Product recommendations. Options: (1) Disable entirely — toggle off Product recommendations; (2) Limit to customer-requested only — in the product recommendation settings or via a custom instruction: 'Do not recommend products unless the customer explicitly asks for a product suggestion.'; (3) Custom recommendations — available on Basic plan and above; allows you to define specific product sets to promote. To remove wholesale or specific products from AI knowledge: contact CS with the product IDs/names to exclude.",8
33,Setting Up Chatty for a Second Store,"I have multiple Shopify stores. Can I use Chatty on both? How do I set up the second store?","Chatty is installed per Shopify store — you need a separate Chatty installation for each store. Each store has its own subscription. It is not currently possible to duplicate or export settings from one store to another automatically. The fastest approach: install Chatty on the second store, then manually re-configure the key settings (chatbox customization, AI training, channels). The CS team can help by checking both stores side by side and guiding the setup.",3
34,Connecting a Trigger/Button to Open Chat,"How do I add a button or link on my website that opens the Chatty chatbox when clicked?","Use the Chatty deep link feature. To open the chat widget via a button click: add an anchor tag with href='javascript:void(0)' and an onclick handler, or use Chatty's JavaScript API if available (contact CS for current implementation details). Alternatively: go to Chatty → Settings → Deep links (if available) to get a link that opens the chatbox. If the feature isn't visible in your plan, request the JavaScript snippet from CS and add it to your theme's code via Shopify Admin → Themes → Edit code.",5
