Category,Newest FAQ first,PIC,Type,Text
,,,,
AI Assistant,Disable/ enable AI follow-up questions,,,
Genaral,Chatty bị disconnected trong Customer events > App pixels,,,
AI Assistant,MC đã bật Pre-chat form nhưng KH vẫn nhận được câu trả lời từ AI trước sau đó prechat form mới hiện,Đức Anh Bùi,,
Analytics,Total sales ở Analytics được tính như thế nào?,,,
AI Assistant,Thêm AI conversations bonus,,,
Genaral,Enable legacy plans 2025,,,
AI Assistant,Hide product preview card ở chat page,,,
Genaral,40% discount 1M cho follow Chatty trên LinkedIn,,,
Channels,Không nhận được Verification Email khi setup Email Channel,,,
AI Assistant,Làm thế nào để khôi phục AI Instructions khi bị xóa nhầm?,,,
Channels,Checklist: Merchant cần có gì để kết nối WhatsApp vào Chatty?,,,
Notifications,Email notifcations của app bị vào spam box,,,
Inbox,MC setup Chat as guest nhưng vẫn có convo Anonymous,,,
Translations,(FAQ page) Translation cho store multi-language không work khi đổi language,Trương Cảnh Huy,,
Genaral,"Một số tips trong quá trình training AI cho KH (https://www.notion.so/M-t-s-tips-trong-qu-tr-nh-training-AI-cho-KH-28fb0da449f180d49c9ffadca56e547f?pvs=21) ",,,
Genaral,"Flow hỗ trợ KH setup AI Assistant (https://www.notion.so/Flow-h-tr-KH-setup-AI-Assistant-28fb0da449f1803aa3d3f4e9ded0fa2e?pvs=21) ",,,
Genaral,Update required for new markets,,,
Chatbox,Remove Chatty branding,Nguyễn Thị Phượng,,
Genaral,"keep the AI chat there? And then if the customer wants human help, the AI will send us an email",,,
Inbox,Logic hiển thị Last activity trong Inbox,Nguyễn Thị Phượng,,
AI Assistant,AI không trả lời emails,Nguyễn Thị Phượng,,
Channels,Add alias emails to channels,,,
Channels,Tin nhắn từ Meta ko show trong Chatty,,,
Genaral,"App free upgrade và Trial extend (https://www.notion.so/App-free-upgrade-v-Trial-extend-1bbb0da449f1804a8c8ae2feb0121367?pvs=21) ",,,
Genaral,"Flow Demo Call – Chatty (https://www.notion.so/Flow-Demo-Call-Chatty-280b0da449f180a09621f1342e8a54a9?pvs=21) ",Ly Hoàng,,
Channels,Merchant vẫn nhận được email báo lỗi “Fail to deliver” sau khi đã disable email forwarding vào Chatty,Ly Hoàng,,
Channels,Thêm SPF record vào DNS setting của email provider khi add Email channels,Ly Hoàng,,
Channels,Email từ Hotmail và Outlook ko được forward qua Chatty,Ly Hoàng,,
AI Assistant,MC ko muốn AI cung cấp email support trong chat,Ly Hoàng,,
AI Assistant,AI suggest sai giá sản phẩm không theo market,Ly Hoàng,Dev fix,
AI Assistant,Đã xóa hết product ở Shopify nhưng ko đc update ở Product Synchronization dù đã sync lại,Phạm Khánh Ly,,
AI Assistant,AI suggest sai domain (product URL) khi khách truy cập market,Ly Hoàng,Feature request,
Genaral,Please help me enable category icons,,Growth hack,
Genaral,Hỗ trợ khách setup những tính năng cơ bản,,,
FAQs,FAQ page ko show,,,
Chatbox,Live chat button ko show,,,
AI Assistant,AI trả lời sai câu hỏi của customer,,,
Subscription,"MC đã cancel subscription, tuy nhiên đến cuối tháng vẫn thấy charge của app",,Billing request,
Chatbox,"MC muốn di chuyển vị trí live chat button ",,,
AI Assistant,Please help me enable  product synchronization for AI Assistant,,Growth hack,
Channels,MC ko verify được email forwarding do email sender ko nằm trong list email provider cung cấp trong app,,,
AI Assistant,AI recommend sản phẩm ko phải của store,,,
Notifications,"MC ko nhận được thông báo email khi có tin nhắn mới ",,,
Notifications,Ko nhận được push notification trên desktop khi có tin nhắn mới,,,
Notifications,MC ko nhận đc thông báo của mobile app,,,
Channels,Đã kết nối thành công với Facebook nhưng tin nhắn mới không hiển thị trong Chatty,,,
AI Assistant,MC có nhu cầu extend số products/ URL hoặc files để train AI,,,
AI Assistant,AI assistant trả lời sai link sản phẩm,,,
AI Assistant,Làm thế nào để test AI assistant khi MC chưa activate tính năng đó?,,,
Channels,MC gặp vấn đề với phần add và connect email channel,,,
AI Assistant,"AI trả lời sai thông tin (price, inventory…) của sản phẩm",,,
Subscription,"MC xin discount để upgrade lên paid plan ",,,
Genaral,MC muốn transfer admin email sang email khác,,,
Genaral,"MC Trung Quốc không truy cập được app Chatty – Màn hình trắng, console báo lỗi",,,
FAQs,FAQ page của app overwrite các default page template,,,
Genaral,Development store bị block ko dùng được app0-,,,
Chatbox,MC contact vì khi login vào link https://app.meetchatty.com/ thì nhận được thông báo incorrect email or password,,,
AI Assistant,Quá trình sync products cho data source của AI assistant bị stuck,,,
Subscription,Các yêu cầu liên quan đến Billing và Refund,,,
Channels,Vấn đề liên quan đến connect Chatty với WhatsApp,,,
AI Assistant,Câu trả lời của AI bị duplicate,,,
Genaral,Khi login vào https://app.meetchatty.com/ báo Account not activated,,,
Inbox,MC muốn export các conversation ở Inbox,,,
Inbox,Manage chat của nhiều store trên cùng 1 account,,,
AI Assistant,AI recommend sản phẩm từ website khác,,,
AI Assistant,1 số lưu ý khi KH cần hỗ trợ training AI Assistant,,,
AI Assistant,AI ko sync đủ số product,,,
AI Assistant,AI gửi sai email support của store,,,
AI Assistant,AI không tự động transfer agent theo Automation assigment setting,Nguyễn Thị Phượng,,
Chatbox,Click vào icon email (Contact us) ở widget thì mở ra blank page,Đỗ Minh Quân,,
AI Assistant,AI ko trả về đúng link sản phẩm theo từng variant,,,
AI Assistant,Scenario Order Tracking ko work,,,
Notifications,Trigger lại popup allow push notifications trên mobile app,Trương Cảnh Huy,,
Chatbox,"Sử dụng function để trigger open, close widget",Đỗ Minh Quân,,
Channels,Email forwarding ko đc verify dù đã add forwarding email thành công và nhận đc verification email,,,
Notifications,Chatty không hiện trong device/notifications settings của mobile,Trương Cảnh Huy,,
Translations,Status hiện Outdated ở 1 language trong Translations,,,