Newest FAQ first,Category,PIC,Text,Type
Please help me enable category icons,Genaral,,,Growth hack
Hỗ trợ khách setup những tính năng cơ bản,Genaral,,,
FAQ page ko show,FAQs,,,
Live chat button ko show,Chatbox,,,
AI trả lời sai câu hỏi của customer,AI Assistant,,,
"MC đã cancel subscription, tuy nhiên đến cuối tháng vẫn thấy charge của app",Subscription,,,Billing request
"MC muốn di chuyển vị trí live chat button ",Chatbox,,,
Please help me enable  product synchronization for AI Assistant,AI Assistant,,,Growth hack
MC ko verify được email forwarding do email sender ko nằm trong list email provider cung cấp trong app,Channels,,,
AI recommend sản phẩm ko phải của store,AI Assistant,,,
"MC ko nhận được thông báo email khi có tin nhắn mới ",Notifications,,,
Ko nhận được push notification trên desktop khi có tin nhắn mới,Notifications,,,
MC ko nhận đc thông báo của mobile app,Notifications,,,
Đã kết nối thành công với Facebook nhưng tin nhắn mới không hiển thị trong Chatty,Channels,,,
AI assistant trả lời sai link sản phẩm,AI Assistant,,,
MC có nhu cầu extend số products/ URL hoặc files để train AI,AI Assistant,,,
Làm thế nào để test AI assistant khi MC chưa activate tính năng đó?,AI Assistant,,,
MC gặp vấn đề với phần add và connect email channel,Channels,,,
"AI trả lời sai thông tin (price, inventory…) của sản phẩm",AI Assistant,,,
"MC xin discount để upgrade lên paid plan ",Subscription,,,
MC muốn transfer admin email sang email khác,Genaral,,,
"MC Trung Quốc không truy cập được app Chatty – Màn hình trắng, console báo lỗi",Genaral,,,
FAQ page của app overwrite các default page template,FAQs,,,
Development store bị block ko dùng được app0-,Genaral,,,
MC contact vì khi login vào link https://app.meetchatty.com/ thì nhận được thông báo incorrect email or password,Chatbox,,,
Quá trình sync products cho data source của AI assistant bị stuck,AI Assistant,,,
Các yêu cầu liên quan đến Billing và Refund,Subscription,,,
Vấn đề liên quan đến connect Chatty với WhatsApp,Channels,,,
Câu trả lời của AI bị duplicate,AI Assistant,,,
Khi login vào https://app.meetchatty.com/ báo Account not activated,Genaral,,,
MC muốn export các conversation ở Inbox,Inbox,,,
Manage chat của nhiều store trên cùng 1 account,Inbox,,,
AI recommend sản phẩm từ website khác,AI Assistant,,,
1 số lưu ý khi KH cần hỗ trợ training AI Assistant,AI Assistant,,,
AI ko sync đủ số product,AI Assistant,,,
AI gửi sai email support của store,AI Assistant,,,
AI không tự động transfer agent theo Automation assigment setting,AI Assistant,Nguyễn Thị Phượng,,
Click vào icon email (Contact us) ở widget thì mở ra blank page,Chatbox,Đỗ Minh Quân,,
AI ko trả về đúng link sản phẩm theo từng variant,AI Assistant,,,
Scenario Order Tracking ko work,AI Assistant,,,
Trigger lại popup allow push notifications trên mobile app,Notifications,Trương Cảnh Huy,,
"Sử dụng function để trigger open, close widget",Chatbox,Đỗ Minh Quân,,
Email forwarding ko đc verify dù đã add forwarding email thành công và nhận đc verification email,Channels,,,
Chatty không hiện trong device/notifications settings của mobile,Notifications,Trương Cảnh Huy,,
Status hiện Outdated ở 1 language trong Translations,Translations,,,
,,,,
AI suggest sai domain (product URL) khi khách truy cập market,AI Assistant,Ly Hoàng,,Feature request
Đã xóa hết product ở Shopify nhưng ko đc update ở Product Synchronization dù đã sync lại,AI Assistant,Phạm Khánh Ly,,
AI suggest sai giá sản phẩm không theo market,AI Assistant,Ly Hoàng,,Dev fix
MC ko muốn AI cung cấp email support trong chat,AI Assistant,Ly Hoàng,,
Email từ Hotmail và Outlook ko được forward qua Chatty,Channels,Ly Hoàng,,
Thêm SPF record vào DNS setting của email provider khi add Email channels,Channels,Ly Hoàng,,
Merchant vẫn nhận được email báo lỗi “Fail to deliver” sau khi đã disable email forwarding vào Chatty,Channels,Ly Hoàng,,
"Flow Demo Call – Chatty (https://www.notion.so/Flow-Demo-Call-Chatty-280b0da449f180a09621f1342e8a54a9?pvs=21) ",Genaral,Ly Hoàng,,
"App free upgrade và Trial extend (https://www.notion.so/App-free-upgrade-v-Trial-extend-1bbb0da449f1804a8c8ae2feb0121367?pvs=21) ",Genaral,,,
Tin nhắn từ Meta ko show trong Chatty,Channels,,,
Add alias emails to channels,Channels,,,
AI không trả lời emails,AI Assistant,Nguyễn Thị Phượng,,
Logic hiển thị Last activity trong Inbox,Inbox,Nguyễn Thị Phượng,,
"keep the AI chat there? And then if the customer wants human help, the AI will send us an email",Genaral,,,
Remove Chatty branding,Chatbox,Nguyễn Thị Phượng,,
Update required for new markets,Genaral,,,
"Flow hỗ trợ KH setup AI Assistant (https://www.notion.so/Flow-h-tr-KH-setup-AI-Assistant-28fb0da449f1803aa3d3f4e9ded0fa2e?pvs=21) ",Genaral,,,
"Một số tips trong quá trình training AI cho KH (https://www.notion.so/M-t-s-tips-trong-qu-tr-nh-training-AI-cho-KH-28fb0da449f180d49c9ffadca56e547f?pvs=21) ",Genaral,,,
(FAQ page) Translation cho store multi-language không work khi đổi language,Translations,Trương Cảnh Huy,,
MC setup Chat as guest nhưng vẫn có convo Anonymous,Inbox,,,
Email notifcations của app bị vào spam box,Notifications,,,
Checklist: Merchant cần có gì để kết nối WhatsApp vào Chatty?,Channels,,,
Làm thế nào để khôi phục AI Instructions khi bị xóa nhầm?,AI Assistant,,,
Không nhận được Verification Email khi setup Email Channel,Channels,,,
40% discount 1M cho follow Chatty trên LinkedIn,Genaral,,,
Hide product preview card ở chat page,AI Assistant,,,
Enable legacy plans 2025,Genaral,,,
Thêm AI conversations bonus,AI Assistant,,,
Total sales ở Analytics được tính như thế nào?,Analytics,,,
MC đã bật Pre-chat form nhưng KH vẫn nhận được câu trả lời từ AI trước sau đó prechat form mới hiện,AI Assistant,Đức Anh Bùi,,
Chatty bị disconnected trong Customer events > App pixels,Genaral,,,
Disable/ enable AI follow-up questions,AI Assistant,,,